Name,InChIKey,Formula,Exact Mass,Mix label,RT [min],Adduct,[M+H]+,[M+NH4]+,[M+Na]+,[M-H]-,[M+FA-H]-,[M+Cl]-
unknown0,ZUDBDCBPZHGAEL-DCYCNZAJSA-N,C25H38O9,482.2515698,A_M28_negPFP_04,1.67,[M+Cl]-,0.0,0.0,0.0,0.0,0.0,517.221
unknown1,ZKCHQVRAXCCTLE-YXHZOQBQSA-N,C46H74O18,914.4874904,A_M8_negPFP_03,3.7,[M+FA-H]-,0.0,0.0,0.0,0.0,959.4857,0.0
unknown2,UYALDZZEAZIEME-MYTBKXFISA-N,C35H42O16,718.2472732,A_M3_posPFP_01,5.55,[M+H]+,719.2546,0.0,0.0,0.0,0.0,0.0
unknown3,IFQVIMQHTPDZQU-UHFFFAOYSA-N,C22H40N2O7,444.283537,A_M6_posPFP_02,5.74,[M+Na]+,0.0,0.0,467.2728,0.0,0.0,0.0
unknown4,XPXRFYSHQGUVFK-UTXMSIPTSA-N,C26H36O8,476.2410056,A_M23_posPFP_02,5.55,[M+Na]+,0.0,0.0,499.2302,0.0,0.0,0.0
unknown5,XPCKJVBBSBPFQL-DCULSWDLSA-N,C54H84O22,1084.545396,A_M26_posPFP_01,5.23,[M+NH4]+,0.0,1102.5792,0.0,0.0,0.0,0.0
unknown6,LYKXPTCUGPKDQL-ZRXCBZTOSA-N,C27H30O14,578.163548,A_M24_negPFP_03,1.99,[M-H]-,0.0,0.0,0.0,577.1563,0.0,0.0
unknown7,RZCUHAHZISRSJD-UHFFFAOYSA-N,C20H36O6,372.2511756,A_M6_negPFP_03,6.29,[M-H]-,0.0,0.0,0.0,371.2439,0.0,0.0
unknown8,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,C17H25N3O2S,335.166739,E_M28_posPFP_01,3.41,[M+H]+,336.174,0.0,0.0,0.0,0.0,0.0
unknown9,YBSJFWOBGCMAKL-UHFFFAOYSA-N,C25H25N7O3,471.201878,E_M86_posPFP_01,2.25,[M+H]+,472.2092,0.0,0.0,0.0,0.0,0.0
unknown10,MJNIWUJSIGSWKK-BBANNHEPSA-N,C33H44N4O10,656.3057284,E_M35_posPFP_01,6.02,[M+H]+,657.313,0.0,0.0,0.0,0.0,0.0
unknown11,SIVYRLBDAPKADZ-UHFFFAOYSA-N,C12H10O2,186.068076,E_M44_negPFP_03,4.97,[M-H]-,0.0,0.0,0.0,185.0608,0.0,0.0
unknown12,FTUCJLKRCLNNPB-OQDXJULVSA-N,C37H58O11,678.3978918,A_M24_negPFP_03,5.51,[M+FA-H]-,0.0,0.0,0.0,0.0,723.3961,0.0
unknown13,WNRDHIDWADTLIO-YYCILOOSSA-N,C36H58O9,634.4080618,A_M6_negPFP_03,5.46,[M+FA-H]-,0.0,0.0,0.0,0.0,679.4063,0.0
unknown14,FYGSMJAMPMZYFS-XOTGQYDDSA-N,C30H46O7,518.3243366,A_M23_posPFP_01,4.82,[M+H]+,519.3316,0.0,0.0,0.0,0.0,0.0
unknown15,QMMMQWRPZIJGPT-AWEZNQCLSA-N,C14H16O3,232.1099386,A_M27_posPFP_01,4.02,[M+H]+,233.1172,0.0,0.0,0.0,0.0,0.0
unknown16,SFLNQLHULUYBES-UHFFFAOYSA-N,C26H44O11,532.2883474,A_M6_posPFP_02,2.11,[M+Na]+,0.0,0.0,555.2776,0.0,0.0,0.0
unknown17,BQIUFGZODBARSL-UHFFFAOYSA-N,C42H76O20,900.4929696,A_M3_posPFP_01,5.63,[M+NH4]+,0.0,918.5268,0.0,0.0,0.0,0.0
unknown18,CGWRDLSMEFSEDN-UHFFFAOYSA-N,C10H12O4,196.0735552,A_M9_negPFP_03,2.11,[M-H]-,0.0,0.0,0.0,195.0663,0.0,0.0
unknown19,SRPODRMTMBGGLK-MLIZCRTMSA-N,C27H30O11,530.178803,A_M28_negPFP_03,4.75,[M-H]-,0.0,0.0,0.0,529.1715,0.0,0.0
unknown20,VCSUYXUJFRFUEL-UHFFFAOYSA-N,C22H18O4,346.1205028,E_M28_posPFP_01,5.43,[M+H]+,347.1278,0.0,0.0,0.0,0.0,0.0
unknown21,YDBLKRPLXZNVNB-UHFFFAOYSA-N,C21H18F3NO3S2,453.0680154,E_M37_posPFP_01,6.17,[M+H]+,454.0753,0.0,0.0,0.0,0.0,0.0
unknown22,MJEXYQIZUOHDGY-UHFFFAOYSA-N,C23H32N6O4S,488.2205632,E_M86_posPFP_01,5.62,[M+H]+,489.2279,0.0,0.0,0.0,0.0,0.0
unknown23,MWRVRCAFWBBXTL-UHFFFAOYSA-N,C8H6O5,182.0215226,E_M74_negPFP_03,0.56,[M-H]-,0.0,0.0,0.0,181.0142,0.0,0.0
unknown24,FMERKDCSVVHBLX-KCTRNYBHSA-N,C52H84O23,1076.540311,A_M24_negPFP_04,2.71,[M+Cl]-,0.0,0.0,0.0,0.0,0.0,1111.5097
unknown25,ZYRLCOGVOHEKBK-UHFFFAOYSA-N,C12H17NO,191.1310072,A_M4_posPFP_01,3.35,[M+H]+,192.1383,0.0,0.0,0.0,0.0,0.0
unknown26,CNWZWVFEXLYSBT-KCPUTACTSA-N,C37H58O12,694.3928068,A_M27_posPFP_02,4.9,[M+Na]+,0.0,0.0,717.382,0.0,0.0,0.0
unknown27,UDWINLZYCCTMBM-KVGJNFRLSA-N,C30H34O8,522.2253564,A_M23_posPFP_02,5.92,[M+Na]+,0.0,0.0,545.2146,0.0,0.0,0.0
unknown28,DXKIYFYDJGEVJY-UHFFFAOYSA-N,C58H104O28,1248.671378,A_M6_posPFP_01,5.74,[M+NH4]+,0.0,1266.7052,0.0,0.0,0.0,0.0
unknown29,BRDVWIOUHLWIGN-LJHYTBJKSA-N,C33H42O18,726.2371032,A_M6_negPFP_03,2.55,[M-H]-,0.0,0.0,0.0,725.2298,0.0,0.0
unknown30,LIIDAMUJPFBXAR-FPOXNKGTSA-N,C26H32O12,536.1893672,A_M28_negPFP_03,1.75,[M-H]-,0.0,0.0,0.0,535.1821,0.0,0.0
unknown31,OIUPBOONLQPLQI-MRVPVSSYSA-N,C11H16O4,212.1048536,A_M9_negPFP_03,4.73,[M-H]-,0.0,0.0,0.0,211.0976,0.0,0.0
unknown32,YVJQQTNULQIMBG-VIFPVBQESA-N,C10H18O3,186.1255878,A_M3_negPFP_03,2.4,[M-H]-,0.0,0.0,0.0,185.1183,0.0,0.0
unknown33,NEYKRKVLEWKOBI-UHFFFAOYSA-N,C23H32N6O5S,504.2154782,E_M86_posPFP_01,5.37,[M+H]+,505.2228,0.0,0.0,0.0,0.0,0.0
unknown34,SWZDQOUHBYYPJD-UHFFFAOYSA-N,C36H75N,521.589919,E_M37_posPFP_01,7.52,[M+H]+,522.5972,0.0,0.0,0.0,0.0,0.0
unknown35,OPIFSICVWOWJMJ-AEOCFKNESA-N,C14H15BrClNO6,406.977122,E_M28_posPFP_01,2.7,[M+NH4]+,0.0,425.011,0.0,0.0,0.0,0.0
unknown36,ZZUQWNYNSKJLPI-UHFFFAOYSA-N,C9H7NO2S2,224.9918202,E_M76_negPFP_03,3.91,[M-H]-,0.0,0.0,0.0,223.9845,0.0,0.0
unknown37,KGBKYZFFQHZKLE-QMMMGPOBSA-N,C10H14O4,198.0892044,A_M3_negPFP_03,1.02,[M+FA-H]-,0.0,0.0,0.0,0.0,243.0874,0.0
unknown38,UKWNFIJQRGRIDQ-UHFFFAOYSA-N,C14H24O4,256.1674504,A_M9_negPFP_03,4.87,[M+FA-H]-,0.0,0.0,0.0,0.0,301.1657,0.0
unknown39,WICIOAMNFCXLEV-MSGDGCCXSA-N,C47H76O18,928.5031396,A_M6_negPFP_03,4.33,[M+FA-H]-,0.0,0.0,0.0,0.0,973.5014,0.0
unknown40,ODEUPBSFCFNAST-MXAVVETBSA-N,C15H22O3,250.1568862,A_M24_posPFP_01,3.39,[M+H]+,251.1642,0.0,0.0,0.0,0.0,0.0
unknown41,WYOIVALENVXRJQ-QMMMGPOBSA-N,C10H14O4,198.0892044,A_M4_posPFP_01,0.69,[M+H]+,199.0965,0.0,0.0,0.0,0.0,0.0
unknown42,NRLCQITWKJENAT-UHFFFAOYSA-N,C11H14O3,194.0942894,A_M7_posPFP_02,4.47,[M+Na]+,0.0,0.0,217.0835,0.0,0.0,0.0
unknown43,OQQOYQUBUVPAAU-SCPUYFPYSA-N,C41H66O14,782.4452336,A_M27_posPFP_02,3.92,[M+Na]+,0.0,0.0,805.4345,0.0,0.0,0.0
unknown44,HAVCNTVVRPOVNT-SLNRQDROSA-N,C40H50O21,866.284445,A_M28_negPFP_03,4.68,[M-H]-,0.0,0.0,0.0,865.2772,0.0,0.0
unknown45,UFUCTYSVQPEEFA-AVGNSLFASA-N,C15H22O3,250.1568862,A_M25_negPFP_03,4.7,[M-H]-,0.0,0.0,0.0,249.1496,0.0,0.0
unknown46,WOPHEEXRJKUYKQ-UHFFFAOYSA-N,C20H25NO5,359.173264,A_M22_negPFP_03,5.77,[M-H]-,0.0,0.0,0.0,358.166,0.0,0.0
unknown47,JMZOMFYRADAWOG-UHFFFAOYSA-N,C20H18O10,418.0899928,E_M28_posPFP_01,5.53,[M+H]+,419.0973,0.0,0.0,0.0,0.0,0.0
unknown48,FJDDSMSDZHURBJ-UHFFFAOYSA-N,C13H15IN2O2,358.017824,E_M41_posPFP_02,3.84,[M+Na]+,0.0,0.0,381.007,0.0,0.0,0.0
unknown49,ONJQDTZCDSESIW-UHFFFAOYSA-N,C30H62O10,582.4342752,E_M86_posPFP_01,6.08,[M+NH4]+,0.0,600.4681,0.0,0.0,0.0,0.0
unknown50,ZZQHGKMTMAORFI-UHFFFAOYSA-N,C12H19N5O3,281.1487824,E_M17_negPFP_03,2.4,[M-H]-,0.0,0.0,0.0,280.1415,0.0,0.0
unknown51,UFFRBCKYXMEITK-PEBYTCCLSA-N,C26H34O11,522.2101014,A_M22_negPFP_03,2.02,[M+FA-H]-,0.0,0.0,0.0,0.0,567.2083,0.0
unknown52,XBQGYUHHNKDVKX-LJPKUSMYSA-N,C50H84O26,1100.525056,A_M28_negPFP_03,3.55,[M+FA-H]-,0.0,0.0,0.0,0.0,1145.5233,0.0
unknown53,CIGSWLXZMSXAAE-ZCFIWIBFSA-N,C13H14O4,234.0892044,A_M28_posPFP_01,5.85,[M+H]+,235.0965,0.0,0.0,0.0,0.0,0.0
unknown54,NLVMTSRTOGOFQD-UHFFFAOYSA-N,C20H32O2,304.2402172,A_M24_posPFP_01,6.26,[M+H]+,305.2475,0.0,0.0,0.0,0.0,0.0
unknown55,TXEFUSAHPIYZHD-UHFFFAOYSA-N,C15H10N2O2,250.074224,A_M4_posPFP_01,3.88,[M+H]+,251.0815,0.0,0.0,0.0,0.0,0.0
unknown56,ZRAPVLSWOKTYNU-UHFFFAOYSA-N,C14H25NO3,255.183434,A_M7_posPFP_01,2.5,[M+H]+,256.1907,0.0,0.0,0.0,0.0,0.0
unknown57,FVINVHIYNUTXPB-SFHVURJKSA-N,C18H23NO2,285.1728698,A_M25_negPFP_03,5.61,[M-H]-,0.0,0.0,0.0,284.1656,0.0,0.0
unknown58,JJXLDNFRQCESGZ-UHFFFAOYSA-N,C15H22O4,266.1518012,A_M7_negPFP_03,3.28,[M-H]-,0.0,0.0,0.0,265.1445,0.0,0.0
unknown59,OAHIHSADYZLDCR-UHFFFAOYSA-N,C15H20O4,264.136152,A_M3_negPFP_03,5.06,[M-H]-,0.0,0.0,0.0,263.1289,0.0,0.0
unknown60,YQOVRUAPWCGSLC-UHFFFAOYSA-N,C20H18O3,306.1255878,A_M9_negPFP_03,5.25,[M-H]-,0.0,0.0,0.0,305.1183,0.0,0.0
unknown61,BSOLVVCARHZLMT-UHFFFAOYSA-N,C15H9F24O4P,739.9855212,E_M33_negPFP_03,6.42,[M+FA-H]-,0.0,0.0,0.0,0.0,784.9837,0.0
unknown62,BQYIXOPJPLGCRZ-REZTVBANSA-N,C14H14N4O3,286.1065854,E_M86_posPFP_01,1.46,[M+H]+,287.1139,0.0,0.0,0.0,0.0,0.0
unknown63,OSFCMRGOZNQUSW-UHFFFAOYSA-N,C34H33N3O5,563.2420088,E_M34_posPFP_01,6.55,[M+H]+,564.2493,0.0,0.0,0.0,0.0,0.0
unknown64,FBMYKMYQHCBIGU-UHFFFAOYSA-N,C22H25N3O2,363.194667,E_M41_posPFP_02,5.91,[M+Na]+,0.0,0.0,386.1839,0.0,0.0,0.0
unknown65,QFIZHIXXEOCVCR-QGCDZIMUSA-N,C17H28O6,328.1885788,A_M25_negPFP_04,2.63,[M+Cl]-,0.0,0.0,0.0,0.0,0.0,363.158
unknown66,IHDNCMDRDAONNT-UHFFFAOYSA-N,C20H28O5,348.1936638,A_M7_negPFP_03,3.68,[M+FA-H]-,0.0,0.0,0.0,0.0,393.1919,0.0
unknown67,WBDDWIKJZNNKBQ-ZQUYRLKRSA-N,C41H66O13,766.4503186,A_M22_negPFP_03,5.47,[M+FA-H]-,0.0,0.0,0.0,0.0,811.4485,0.0
unknown68,AGBBJVFSJVBRRY-UHFFFAOYSA-N,C20H27NO8S,441.1457302,A_M4_posPFP_01,3.18,[M+H]+,442.153,0.0,0.0,0.0,0.0,0.0
unknown69,JCOCIXAHAFALHI-UHFFFAOYSA-N,C14H26O6,290.1729296,A_M28_posPFP_02,2.31,[M+Na]+,0.0,0.0,313.1622,0.0,0.0,0.0
unknown70,JPFNJNIYHKVTDX-ZMAWNPEZSA-N,C16H28O7,332.1834938,A_M24_posPFP_01,2.58,[M+NH4]+,0.0,350.2173,0.0,0.0,0.0,0.0
